,intent,systemName
164,A07.09709.How_bonuses_are_awarded,How_bonuses_are_awarded
165,A17.01599.Something_about_limits,Something_about_limits
169,A01.01619.Money_from_blocked_card,Money_from_blocked_card
170,A31.12647.Inheritance,gosuslugi
173,etk_info,gosuslugi
174,gosuslugi_pasport,gosuslugi
175,profile_app_phone,canvas_address
178,A01.02628.I_want_to_apply_for_a_consumer_loan,loans_general_info
179,A02.01671.Change_the_loan_rate,loans_general_info
184,A02.01611.Consumer_loan_interest_rate,Consumer_loan_interest_rate
185,A0540.Disable_mp_notifications,Disable_mp_notifications
189,interpretation_of_dreams,
190,A05.06109.About_pos_loan,About_pos_loan
193,geo_currency,geo_currency
194,mobile_payment,mobile_payment
196,A01.01659.Info_for_government_employees,Info_for_government_employees
197,A07.09710.How_to_get_more_bonuses,How_to_get_more_bonuses
198,A48.01691.Sberdeal,Sberdeal
199,COVID_Stats,covid_stat
200,W0098.Tick_insurance_info,SmartApp_UB
204,promo_payments,promo_payments
206,cinema_tickets,where_to_go_app
208,zapis_doktor_free,gosuslugi
209,A0546.Change_restore_login_or_password_SBOL,Change_restore_login_or_password_SBOL
210,A16.0512.How_to_see_receipts,How_to_see_receipts
211,A33.01649.Biometrics,Biometrics
213,weather_exact_location_date,weather
214,A05.01552.Deposit_open,deposits_general_info
216,pfm_my_income,fin_advisor
222,A05.06102.How_calculate_rate_of_deposite,How_calculate_rate_of_deposite
223,A32.11642.Information_about_charity,charity
226,let_s_play,Chislovoi_pazl_2048_top_briks
228,suggestion_feedback_answer,gosuslugi
230,A01.01554.Credit_card_debt,Credit_card_mapi
231,A01.01635.How_to_enable_contactless_payments,How_to_enable_contactless_payments
232,A02.01609.Credit_history,Credit_history
233,W0103.How_to_terminate_insurance_contract,SmartApp_UB
234,market_index,market_index
235,sberauto_main,
237,zagran_plus_RF,gosuslugi
238,A05.06100.What_is_minimum_balance,CB_WhatIsMinimumBalance
239,A13.01656.How_to_check_a_phone_number,How_to_check_a_phone_number
242,calculator,calculator
243,covid_info,gosuslugi
244,pushkin_card,gosuslugi
245,subscription_feedback,fin_advisor
246,A0530.Personal_data_is_not_displayed,Personal_data_is_not_displayed
247,A09.01568.SMS_bank_price,SMS_bank_price
248,A05.01604.Close_a_deposit,deposits_general_info
249,A05.06101.When_the_term_of_the_deposit_ends,When_the_term_of_the_deposit_ends
250,A31.12641.Power_of_attorney,Power_of_attorney
252,A02.01613.Refinancing_interest_rate,Refinancing_interest_rate
253,A05.01601.Deposit_tax,Deposit_tax
254,A05.01667.Deposit,CB_Deposit
255,A0525.Cart_debet_reasons,Card_debet_reasons
256,A0544.Find_out_payment_and_transfer_details,Find_out_payment_and_transfer_details
257,W0129.Life_mortgage_insurance_info,SmartApp_UB
258,absent,Summa_chisel
259,catalog_chat_sbol_resolve,catalog
261,A0516.Will_the_Bank_approve_the_loan,Will_the_Bank_approve_the_loan
262,W0120.Real_estate_mortgage_insurance_info,SmartApp_UB
263,bolche_uslug,gosuslugi
264,brokerage_account,brokerage_accounts
267,whats_with_my_booking,duplex_app
268,A0548.Get_a_confirmation_of_the_operation,Get_a_confirmation_of_the_operation
269,A0677.Apply_for_a_new_debet_card,Apply_for_a_new_debet_card
270,geo_mycurrentgeo,my_geo_position
274,A08.01658.Who_called_me,Who_called_me
275,A17.01576.Phone_loss,Phone_loss
277,Sberlogistika,
278,W0087.Real_estate_mortgage_insurance_buy_and_prolongation,SmartApp_UB
281,A02.01612.Mortgage_interest_rate,loans_general_info
282,A0531.Funds_transfer_failed,Funds_transfer_failed
284,catalog_chat_b2c,catalog_chat_b2c
286,pfm_my_subscriptions,fin_advisor
287,razvod_obshiy,gosuslugi
288,A07.01587.Changing_SberSpasibo_phone,Changing_SberSpasibo_phone
289,A07.09707.The_cost_of_the_bonus_program,The_cost_of_the_bonus_program
290,buy_pai_pif,buy_pai_pif
291,A01.02626.I_want_to_get_a_car_loan,loans_general_info
292,A05.06108.POS_Post-service_installment,POS_Post-service_installment
293,A0508.What_is_the_banks_operating_mode,What_is_the_banks_operating_mode
294,A0549.Loan_debts_were_not_written_off,Loan_debts_were_not_written_off
295,W0092.Mortgage_insurance,SmartApp_UB
297,restruct_problems_,golosovoj_pomoshchni-71773-RIL
298,samokat,grocery
299,A07.01581.SberSpasibo_bonuses_return,SberSpasibo_bonuses_return
300,A13.01636.How_to_rename_card,How_to_rename_card
301,A13.01660.How_to_find_a_blocked_card,How_to_find_a_blocked_card
302,A16.0507.How_to_change_STS,How_to_change_STS
303,A25.01643.Tax_for_selfemployed,Tax_for_selfemployed
305,A0528.Find_out_information_about_the_arrest,Find_out_information_about_the_arrest
307,geo_route,build_routes
310,sport_olymp,sport_skill
312,A0529.Unlock_card,Unlock_card
313,W0049.CASCO_info,SmartApp_UB
317,A0507.Where_to_view_the_history_of_operations,Where_to_view_the_history_of_operations
318,W0001.Nothing_found_response,SmartApp_UB
321,p2p,p2p
322,sbol_search,sbol_search
325,A01.01646.Multicurrency_card,Multicurrency_card
326,A0532.Cancel_or_refund_payment,Cancel_or_refund_payment
327,A18.01556.Open_the_safe,Open_the_safe
329,nearest_sber,nearest_sber
330,A01.01629.Card_for_kids,cards_general_info
331,A0550.Credit_potential,loans_general_info
334,metal_exchange,metal_exchange
336,A01.01580.SberPay,SberPay
337,A04.01607.Transfers_without_fee,payments_and_transfers_general_info
339,my_birthday,birthday
340,radio,music
342,A01.01674.Make_a_salary_card,Make_a_salary_card
343,A04.01653.Replenish_electronic_wallet,Replenish_electronic_wallet
